"Category","First","Last","Address","City","State","Zip","Phone","Email"
"New","Sam","Smith","400 N Broad St","Philadelphia","PA","19103","215-515-1212","ssmith@test.com"
"New","Susan","Miller-Smith","400 N Broad St","Philadelphia","PA","19103","215-515-1212","smiller@test.com"
"New","Harry","Smith","P.O. Box 6","Atlasburg","PA","15004","602-515-1212","testentry@test.com"
"New","Harriette J.","Smith","P.O. Box 6","Atlasburg","PA","15004","602-515-1212","testentry@test.com"
"New","Mike","Jackson","1020 Holland Ave","Port Huron","MI","48060","310-515-1212","mjtest@test.com"
"New","Barbara","Jackson","1020 Holland Ave","Port Huron","MI","48060","310-515-1212","mjtest@test.com"
"New","Mark","Jones","3686 Village Dr Apt. D","Franklin","OH","45005","937-555-1212","mjones@test.com"
"New","Mary","Jones","3686 Village Dr Apt. D","Franklin","OH","45005","937-555-1212","mjones@test.com"
"New","Jeff","Williams","100 S Washington Ave","Scranton","PA","18503","717-515-1212","DandJ@test.com"
"New","Deanna","Williams","100 S Washington Ave","Scranton","PA","18503","717-515-1212","DandJ@test.com"
"Existing","Ron","Jones","3345 W. Auburn Rd, Apt 207","Rochester Hills","MI","48309","858-555-1212","michele@test.com"
"Existing","Samantha (Ron)","Jones","3345 W. Auburn Rd, Apt 207","Rochester Hills","MI","48309","858-555-1212","michele@test.com"
"Existing","James (Diane)","Williams","8150 Priestley Dr","Reynoldsburg","OH","43068","619-555-1212","DandJ@test.com"
"Existing","Diane","Williams","8150 Priestley Dr","Reynoldsburg","OH","43068","619-555-1212","DandJ@test.com"
"Existing","Harry","Jones","876 McDonald Ave","Brooklyn","NY","11218","619-555-1212","test@test.com"
"Existing","Harriette (Harry)","Jones","876 McDonald Ave","Brooklyn","NY","11218","619-555-1212","test@test.com"
"Existing","Mark (Mary)","Dunbar","13145 Creekside LN","Port Charlotte","FL","33953","619-555-1212","none@test.com"
"Existing","Mary","Dunbar","13145 Creekside LN","Port Charlotte","FL","33953","619-555-1212","none@test.com"
"Existing","Harold","Smith","3686 Village Dr Apt. D","Franklin","OH","45005","858-555-1212","sally@test.com"
"Existing","Sally (Harold)","Smith","3686 Village Dr Apt. D","Franklin","OH","45005","858-555-1212","sally@test.com"
"Increase","Alison","DeRudder","2200 N Hillman Rd","Stanton","MI","48888","801-555-1212","testentry@test.com"
"Increase","Sherri","Testing","104 Newport Dr","Boardman","OH","44512","801-555-1217","testentry@test.com"
