"First","Last","Address","City","State","Zip","Phone","Email"
"Ron","Jones","3345 W. Auburn Rd, Apt 207","Rochester Hills","MI","48309","858-555-1212","michele@test.com"
"Samantha (Ron)","Jones","3345 W. Auburn Rd, Apt 207","Rochester Hills","MI","48309","858-555-1212","michele@test.com"
"James (Diane)","Williams","8150 Priestley Dr","Reynoldsburg","OH","43068","619-555-1212","DandJ@test.com"
"Diane","Williams","8150 Priestley Dr","Reynoldsburg","OH","43068","619-555-1212","DandJ@test.com"
"Harry","Jones","876 McDonald Ave","Brooklyn","NY","11218","619-555-1212","test@test.com"
"Harriette (Harry)","Jones","876 McDonald Ave","Brooklyn","NY","11218","619-555-1212","test@test.com"
"Mark (Mary)","Dunbar","13145 Creekside LN","Port Charlotte","FL","33953","619-555-1212","none@test.com"
"Mary","Dunbar","13145 Creekside LN","Port Charlotte","FL","33953","619-555-1212","none@test.com"
"Harold","Smith","3686 Village Dr Apt. D","Franklin","OH","45005","858-555-1212","sally@test.com"
"Sally (Harold)","Smith","3686 Village Dr Apt. D","Franklin","OH","45005","858-555-1212","sally@test.com"
