"First","Last","Address","City","State","Zip","Phone","Email"
"Sam","Smith","400 N Broad St","Philadelphia","PA","19103","215-515-1212","ssmith@test.com"
"Susan","Miller-Smith","400 N Broad St","Philadelphia","PA","19103","215-515-1212","smiller@test.com"
"Harry","Smith","P.O. Box 6","Atlasburg","PA","15004","602-515-1212","testentry@test.com"
"Harriette J.","Smith","P.O. Box 6","Atlasburg","PA","15004","602-515-1212","testentry@test.com"
"Mike","Jackson","1020 Holland Ave","Port Huron","MI","48060","310-515-1212","mjtest@test.com"
"Barbara","Jackson","1020 Holland Ave","Port Huron","MI","48060","310-515-1212","mjtest@test.com"
"Mark","Jones","3686 Village Dr Apt. D","Franklin","OH","45005","937-555-1212","mjones@test.com"
"Mary","Jones","3686 Village Dr Apt. D","Franklin","OH","45005","937-555-1212","mjones@test.com"
"Jeff","Williams","100 S Washington Ave","Scranton","PA","18503","717-515-1212","DandJ@test.com"
"Deanna","Williams","100 S Washington Ave","Scranton","PA","18503","717-515-1212","DandJ@test.com"
